               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045448,            0.065364,            0.016448,             0.67017,             0.60445,             0.68213,             0.44875,            0.041351,            0.038265,            0.010911,              0.0937,              0.0007,              0.0007
                   1,            0.043849,            0.061833,            0.017287,             0.73381,             0.62313,             0.71807,             0.48061,            0.040512,            0.037227,           0.0096297,            0.086005,            0.001005,            0.001005
                   2,            0.044729,            0.070814,            0.016421,             0.75115,             0.65057,             0.73668,             0.48412,            0.040028,            0.036529,           0.0089202,            0.077782,            0.000782,            0.000782
